Strain	Bead	Day	Dilu	Trial	Count
CR4	H	28	3	1	17
CR4	H	28	3	2	3
CR4	H	28	3	3	40
CR2-CR4	C	28	3	1	120
CR2-CR4	C	28	3	2	58
CR2-CR4	C	28	3	3	84
CR2-CR4	L	28	3	1	98
CR2-CR4	L	28	3	2	92
CR2-CR4	L	28	3	3	104
CR2-CR4	H	28	3	1	0
CR2-CR4	H	28	3	2	70
CR2-CR4	H	28	3	3	46
CR2	C	29	3	1	50
CR2	C	29	3	2	38
CR2	C	29	3	3	1
CR2	L	29	3	1	52
CR2	L	29	3	2	124
CR2	L	29	3	3	98
CR2	H	29	3	1	54
CR2	H	29	3	2	0
CR2	H	29	3	3	90
CR4	C	29	3	1	22
CR4	C	29	3	2	34
CR4	C	29	3	3	4
CR4	L	29	3	1	46
CR4	L	29	3	2	90
CR4	L	29	3	3	132
CR4	H	29	3	1	23
CR4	H	29	3	2	3
CR4	H	29	3	3	26
CR2-CR4	C	29	3	1	128
CR2-CR4	C	29	3	2	98
CR2-CR4	C	29	3	3	100
CR2-CR4	L	29	3	1	104
CR2-CR4	L	29	3	2	90
CR2-CR4	L	29	3	3	124
CR2-CR4	H	29	3	1	0
CR2-CR4	H	29	3	2	46
CR2-CR4	H	29	3	3	23
CR2	C	30	3	1	36
CR2	C	30	3	2	29
CR2	C	30	3	3	3
CR2	L	30	3	1	76
CR2	L	30	3	2	158
CR2	L	30	3	3	118
CR2	H	30	3	1	50
CR2	H	30	3	2	0
CR2	H	30	3	3	82
CR4	C	30	3	1	39
CR4	C	30	3	2	22
CR4	C	30	3	3	12
CR4	L	30	3	1	58
CR4	L	30	3	2	116
CR4	L	30	3	3	114
CR4	H	30	3	1	22
CR4	H	30	3	2	6
CR4	H	30	3	3	28
CR2-CR4	C	30	3	1	90
CR2-CR4	C	30	3	2	48
CR2-CR4	C	30	3	3	92
CR2-CR4	L	30	3	1	126
CR2-CR4	L	30	3	2	92
CR2-CR4	L	30	3	3	116
CR2-CR4	H	30	3	1	0
CR2-CR4	H	30	3	2	58
CR2-CR4	H	30	3	3	24
CR2	C	31	3	1	31
CR2	C	31	3	2	34
CR2	C	31	3	3	2
CR2	L	31	3	1	58
CR2	L	31	3	2	118
CR2	L	31	3	3	62
CR2	H	31	3	1	40
CR2	H	31	3	2	0
CR2	H	31	3	3	76
CR4	C	31	3	1	56
CR4	C	31	3	2	20
CR4	C	31	3	3	15
CR4	L	31	3	1	52
CR4	L	31	3	2	90
CR4	L	31	3	3	162
CR4	H	31	3	1	31
CR4	H	31	3	2	7
CR4	H	31	3	3	18
CR2-CR4	C	31	3	1	88
CR2-CR4	C	31	3	2	58
CR2-CR4	C	31	3	3	74
CR2-CR4	L	31	3	1	108
CR2-CR4	L	31	3	2	98
CR2-CR4	L	31	3	3	136
CR2-CR4	H	31	3	1	0
CR2-CR4	H	31	3	2	56
CR2-CR4	H	31	3	3	39
CR2	C	32	3	1	36
CR2	C	32	3	2	36
CR2	C	32	3	3	2
CR2	L	32	3	1	46
CR2	L	32	3	2	72
CR2	L	32	3	3	74
CR2	H	32	3	1	56
CR2	H	32	3	2	0
CR2	H	32	3	3	52
CR4	C	32	3	1	62
CR4	C	32	3	2	17
CR4	C	32	3	3	18
CR4	L	32	3	1	76
CR4	L	32	3	2	96
CR4	L	32	3	3	164
CR4	H	32	3	1	27
CR4	H	32	3	2	6
CR4	H	32	3	3	18
CR2-CR4	C	32	3	1	76
CR2-CR4	C	32	3	2	64
CR2-CR4	C	32	3	3	79
CR2-CR4	L	32	3	1	106
CR2-CR4	L	32	3	2	78
CR2-CR4	L	32	3	3	164
CR2-CR4	H	32	3	1	0
CR2-CR4	H	32	3	2	40
CR2-CR4	H	32	3	3	42
CR2	C	33	3	1	41
CR2	C	33	3	2	41
CR2	C	33	3	3	1
CR2	L	33	3	1	44
CR2	L	33	3	2	56
CR2	L	33	3	3	66
CR2	H	33	3	1	50
CR2	H	33	3	2	0
CR2	H	33	3	3	46
CR4	C	33	3	1	66
CR4	C	33	3	2	28
CR4	C	33	3	3	23
